benign,dos,probe,r2l,u2r,label_malicious,outlier,max
5168,413,82,0,0,False,False,benign
53,27445,66,0,0,True,False,dos
15207,192,68,0,0,False,False,benign
93,5484,1235,0,0,True,False,dos
1,0,0,0,0,True,True,benign
4062,86,32,3,0,False,False,benign
0,715,0,0,0,True,False,dos
1,0,2105,0,0,True,False,probe
196,69,2968,30,6,False,False,probe
0,0,1,0,0,True,True,probe
42,0,1,1,0,True,True,benign
419,0,0,230,0,False,False,benign
32,0,0,3,3,True,True,benign
1648,11,988,4,0,False,False,benign
0,0,1,0,0,True,True,probe
22,0,0,0,0,True,True,benign
3,0,0,1,0,True,True,benign
1366,56,211,5,1,False,False,benign
29,0,616,0,0,True,False,probe
164,1472,0,0,0,False,False,dos
74,1,254,0,0,False,False,probe
266,0,0,6,0,False,False,benign
56,0,0,44,0,True,True,benign
0,0,2,0,0,True,True,probe
8011,366,639,473,24,False,False,benign
14786,450,0,3,0,False,False,benign
2175,18,19,1,0,False,False,benign
