kmeans_test_y,y_test_preds_new,y_test_benign,y_test_preds_combined,test_probabilities
1.0,1.0,1.0,1.0,0.99999917
1.0,1.0,1.0,1.0,0.9999956
0.0,1.0,0.0,1.0,0.02006837
0.0,1.0,1.0,1.0,0.9999653
0.0,1.0,1.0,1.0,0.5875125
0.0,0.0,0.0,0.0,9.1346556e-07
0.0,1.0,0.0,1.0,0.021755066
1.0,1.0,1.0,1.0,0.009909763
0.0,0.0,0.0,0.0,8.7622897e-07
1.0,0.0,1.0,1.0,0.0021635857
0.0,1.0,1.0,1.0,0.87653106
0.0,1.0,0.0,1.0,0.0067410935
1.0,1.0,1.0,1.0,0.9999988
1.0,1.0,1.0,1.0,0.9974241
0.0,0.0,0.0,0.0,0.0014011139
0.0,0.0,0.0,0.0,8.084958e-07
0.0,0.0,0.0,0.0,1.3401226e-05
0.0,0.0,0.0,0.0,7.7410164e-07
0.0,1.0,0.0,1.0,0.6154662
1.0,1.0,1.0,1.0,0.9999988
1.0,1.0,1.0,1.0,0.99997866
1.0,1.0,1.0,1.0,0.99919957
0.0,0.0,0.0,0.0,1.1225095e-05
0.0,0.0,0.0,0.0,4.0040136e-06
1.0,1.0,1.0,1.0,0.9999895
1.0,1.0,1.0,1.0,0.9999924
0.0,0.0,0.0,0.0,2.8473246e-06
0.0,0.0,0.0,0.0,2.4119488e-05
0.0,1.0,1.0,1.0,0.9707254
0.0,1.0,0.0,1.0,0.57040215
0.0,1.0,1.0,1.0,0.03209096
0.0,0.0,0.0,0.0,2.496678e-05
0.0,0.0,0.0,0.0,2.9183627e-06
0.0,1.0,0.0,1.0,0.9997291
1.0,1.0,1.0,1.0,0.99999857
1.0,1.0,1.0,1.0,0.68096256
0.0,0.0,0.0,0.0,2.4119488e-05
0.0,1.0,1.0,1.0,0.75095505
0.0,0.0,0.0,0.0,1.7061562e-05
0.0,0.0,0.0,0.0,0.0018200445
1.0,1.0,1.0,1.0,0.99999976
0.0,0.0,0.0,0.0,9.475111e-06
0.0,0.0,0.0,0.0,5.2795554e-07
0.0,0.0,0.0,0.0,7.4970326e-06
1.0,1.0,1.0,1.0,0.99999523
0.0,0.0,0.0,0.0,1.9218587e-05
1.0,1.0,1.0,1.0,0.9999989
0.0,1.0,1.0,1.0,0.99746346
0.0,1.0,1.0,1.0,0.7834101
0.0,1.0,0.0,1.0,0.010416136
0.0,0.0,0.0,0.0,7.933816e-06
0.0,0.0,0.0,0.0,3.917206e-05
1.0,1.0,1.0,1.0,0.99999547
1.0,1.0,1.0,1.0,0.99999964
0.0,1.0,1.0,1.0,0.21122912
0.0,0.0,0.0,0.0,2.9286505e-06
1.0,1.0,1.0,1.0,0.99999523
0.0,1.0,1.0,1.0,0.01786057
0.0,0.0,1.0,0.0,0.0015418974
0.0,0.0,0.0,0.0,2.4119488e-05
0.0,0.0,1.0,0.0,0.00436215
0.0,1.0,1.0,1.0,0.5972919
0.0,0.0,0.0,0.0,0.00042167134
0.0,0.0,0.0,0.0,1.1831624e-05
1.0,1.0,1.0,1.0,0.99999523
0.0,0.0,0.0,0.0,9.100058e-06
1.0,1.0,1.0,1.0,0.96802783
1.0,1.0,1.0,1.0,0.99999905
1.0,1.0,1.0,1.0,0.9999738
0.0,0.0,0.0,0.0,1.1225095e-05
1.0,1.0,1.0,1.0,0.99999905
0.0,0.0,0.0,0.0,1.6187134e-05
0.0,0.0,0.0,0.0,4.0118875e-06
0.0,0.0,0.0,0.0,1.157188e-06
1.0,1.0,1.0,1.0,0.9999924
0.0,0.0,0.0,0.0,2.04328e-06
0.0,0.0,0.0,0.0,9.490562e-07
0.0,1.0,1.0,1.0,0.03707997
0.0,0.0,0.0,0.0,6.065116e-06
0.0,0.0,0.0,0.0,1.1320072e-05
1.0,1.0,1.0,1.0,0.9999994
1.0,1.0,1.0,1.0,0.9999994
0.0,1.0,1.0,1.0,0.9843859
0.0,0.0,0.0,0.0,1.9063821e-06
0.0,0.0,0.0,0.0,1.1320072e-05
0.0,0.0,0.0,0.0,2.4529265e-06
1.0,1.0,1.0,1.0,0.9999527
1.0,0.0,1.0,1.0,0.0036387052
0.0,0.0,0.0,0.0,1.9841484e-05
0.0,0.0,0.0,0.0,0.0032275887
0.0,0.0,0.0,0.0,1.7904774e-06
0.0,0.0,0.0,0.0,2.4119488e-05
1.0,1.0,1.0,1.0,0.9999995
1.0,1.0,1.0,1.0,0.27801213
0.0,0.0,1.0,0.0,0.0003441807
0.0,0.0,0.0,0.0,7.002859e-05
0.0,0.0,0.0,0.0,7.800965e-06
0.0,0.0,0.0,0.0,4.0314724e-05
0.0,1.0,1.0,1.0,0.99995184
1.0,1.0,1.0,1.0,0.9999895
1.0,1.0,1.0,1.0,0.99999535
1.0,0.0,1.0,1.0,0.00192481
1.0,1.0,1.0,1.0,0.9999994
1.0,1.0,1.0,1.0,0.99999905
0.0,0.0,0.0,0.0,2.978277e-05
1.0,1.0,1.0,1.0,0.99999905
1.0,1.0,1.0,1.0,0.18554343
0.0,0.0,0.0,0.0,3.9671677e-06
1.0,1.0,1.0,1.0,0.99999917
0.0,0.0,0.0,0.0,7.035529e-06
0.0,0.0,0.0,0.0,0.00022379628
1.0,1.0,1.0,1.0,0.99999964
0.0,1.0,1.0,1.0,0.045304418
0.0,1.0,1.0,1.0,0.046659816
0.0,0.0,0.0,0.0,1.8179993e-05
1.0,1.0,1.0,1.0,0.99999976
0.0,0.0,0.0,0.0,1.1225095e-05
0.0,1.0,1.0,1.0,0.9997186
1.0,1.0,1.0,1.0,0.9999943
0.0,0.0,1.0,0.0,3.718146e-05
0.0,0.0,0.0,0.0,7.778723e-06
0.0,1.0,1.0,1.0,0.99962616
0.0,1.0,1.0,1.0,0.9999943
1.0,1.0,1.0,1.0,0.99999905
0.0,0.0,0.0,0.0,0.0003683738
0.0,0.0,0.0,0.0,1.14105105e-05
1.0,1.0,1.0,1.0,0.013713675
1.0,1.0,1.0,1.0,0.99999976
0.0,0.0,0.0,0.0,2.031333e-06
0.0,0.0,0.0,0.0,3.9927118e-06
0.0,0.0,0.0,0.0,4.7873098e-05
0.0,0.0,0.0,0.0,8.523215e-05
1.0,1.0,1.0,1.0,0.94580877
0.0,0.0,0.0,0.0,1.0187878e-05
0.0,1.0,1.0,1.0,0.3095542
0.0,0.0,0.0,0.0,1.935397e-06
1.0,1.0,1.0,1.0,0.9999988
0.0,0.0,1.0,0.0,1.2349299e-05
1.0,1.0,1.0,1.0,0.26135385
0.0,0.0,0.0,0.0,1.35381715e-05
0.0,0.0,0.0,0.0,2.5134225e-06
0.0,0.0,0.0,0.0,4.0314724e-05
1.0,1.0,1.0,1.0,0.9999995
1.0,1.0,1.0,1.0,0.9999994
0.0,1.0,1.0,1.0,0.08954273
0.0,1.0,1.0,1.0,0.99961805
1.0,1.0,1.0,1.0,0.9596477
1.0,1.0,1.0,1.0,0.9999995
0.0,0.0,0.0,0.0,5.293867e-06
0.0,1.0,1.0,1.0,0.45560917
1.0,1.0,1.0,1.0,0.020064268
1.0,1.0,1.0,1.0,0.99999976
0.0,1.0,1.0,1.0,0.07888491
0.0,1.0,1.0,1.0,0.08749037
0.0,0.0,0.0,0.0,1.004448e-06
1.0,1.0,1.0,1.0,0.99999917
0.0,1.0,1.0,1.0,0.49286264
1.0,1.0,1.0,1.0,0.9999919
1.0,1.0,1.0,1.0,0.9999989
1.0,1.0,1.0,1.0,0.99999976
1.0,1.0,1.0,1.0,0.9999989
1.0,1.0,1.0,1.0,0.9999994
1.0,1.0,1.0,1.0,0.9999975
1.0,1.0,1.0,1.0,0.9999957
0.0,1.0,1.0,1.0,0.72477263
1.0,1.0,1.0,1.0,0.9999987
1.0,1.0,1.0,1.0,0.99999976
0.0,1.0,1.0,1.0,0.867081
0.0,0.0,0.0,0.0,6.4421243e-07
1.0,1.0,1.0,1.0,0.9999994
0.0,1.0,1.0,1.0,0.027067525
0.0,0.0,0.0,0.0,3.3747136e-07
1.0,1.0,1.0,1.0,0.9999988
1.0,1.0,1.0,1.0,0.99999905
0.0,1.0,1.0,1.0,0.08635191
0.0,0.0,0.0,0.0,1.1963124e-05
1.0,1.0,1.0,1.0,0.9999994
1.0,1.0,1.0,1.0,0.9999975
1.0,1.0,1.0,1.0,0.519933
0.0,0.0,0.0,0.0,2.1118927e-05
0.0,1.0,1.0,1.0,0.99986434
0.0,0.0,0.0,0.0,2.346966e-05
0.0,0.0,0.0,0.0,2.5090274e-05
0.0,0.0,0.0,0.0,1.1225095e-05
0.0,0.0,0.0,0.0,1.7061562e-05
0.0,1.0,1.0,1.0,0.0076106978
1.0,1.0,1.0,1.0,0.9999956
1.0,1.0,1.0,1.0,0.9999943
0.0,0.0,0.0,0.0,9.675323e-06
1.0,1.0,1.0,1.0,0.99999905
0.0,0.0,0.0,0.0,2.3178787e-05
0.0,1.0,1.0,1.0,0.027067525
1.0,1.0,1.0,1.0,0.9999927
0.0,0.0,0.0,0.0,1.4745e-05
0.0,0.0,0.0,0.0,5.4507345e-06
0.0,0.0,0.0,0.0,0.00051158597
0.0,1.0,0.0,1.0,0.99752384
1.0,1.0,1.0,1.0,0.007941648
1.0,1.0,1.0,1.0,0.99999785
0.0,0.0,1.0,0.0,4.2092586e-05
0.0,1.0,1.0,1.0,0.72587085
0.0,0.0,0.0,0.0,1.1519815e-05
0.0,1.0,1.0,1.0,0.9729276
0.0,0.0,0.0,0.0,1.1225095e-05
0.0,0.0,0.0,0.0,9.79179e-05
1.0,1.0,1.0,1.0,0.9999975
1.0,1.0,1.0,1.0,0.9999945
1.0,1.0,1.0,1.0,0.9874071
0.0,0.0,0.0,0.0,1.7831086e-05
0.0,0.0,0.0,0.0,4.1611647e-06
0.0,1.0,1.0,1.0,0.06886415
0.0,1.0,1.0,1.0,0.9876818
0.0,0.0,0.0,0.0,8.4160183e-07
0.0,0.0,0.0,0.0,2.9970586e-05
0.0,0.0,0.0,0.0,0.0013872015
0.0,1.0,1.0,1.0,0.9992167
0.0,0.0,0.0,0.0,1.1320072e-05
0.0,1.0,0.0,1.0,0.026804008
0.0,0.0,0.0,0.0,1.7022152e-05
0.0,0.0,1.0,0.0,1.6531234e-05
0.0,0.0,0.0,0.0,9.166386e-07
0.0,0.0,0.0,0.0,4.618056e-06
0.0,1.0,0.0,1.0,0.6645786
1.0,1.0,1.0,1.0,0.9999989
0.0,0.0,0.0,0.0,9.490562e-07
0.0,1.0,1.0,1.0,0.9985189
0.0,0.0,0.0,0.0,5.170989e-06
1.0,1.0,1.0,1.0,0.9999949
0.0,0.0,0.0,0.0,2.099709e-05
0.0,0.0,0.0,0.0,7.4970326e-06
0.0,1.0,0.0,1.0,0.45145762
1.0,1.0,1.0,1.0,0.71649575
0.0,1.0,1.0,1.0,0.14966457
0.0,1.0,0.0,1.0,0.00589804
1.0,1.0,1.0,1.0,0.9999932
0.0,1.0,1.0,1.0,0.9992593
0.0,1.0,1.0,1.0,0.0638913
0.0,1.0,0.0,1.0,0.6645786
0.0,1.0,1.0,1.0,0.064372845
0.0,1.0,1.0,1.0,0.8628682
0.0,0.0,0.0,0.0,2.20367e-05
0.0,0.0,0.0,0.0,2.4374649e-05
0.0,1.0,1.0,1.0,0.18253584
